Feature,Importance
categorical__DIB_DIBEV_1.0,0.16923244438777454
categorical__CHR_OBEV_1.0,0.12242577125506755
categorical__P_SEX_2.0,0.04190228751810499
categorical__ACC_HTHUSUAL_3.0,0.03965816894422948
categorical__P_EDUCATION_I_R_2.0,0.031376274091887424
categorical__P_EDUCATION_I_R_3.0,0.031101615781300773
categorical__DEM_REGION_3.0,0.030650549225415446
categorical__BMICAT6_2.0,0.0277855467540831
categorical__P_POVERTY4_R_4.0,0.02756030729924481
categorical__DEM_REGION_2.0,0.02679494508778164
categorical__DEM_RACEETH_7.0,0.026426059597435582
categorical__DEM_REGION_4.0,0.024422055606796982
categorical__DOCVIS_P12M_2.0,0.023952216579767056
categorical__P_POVERTY4_R_3.0,0.023889140115098302
categorical__BMICAT6_3.0,0.02155943738251962
categorical__P_POVERTY4_R_2.0,0.021493498458218793
categorical__P_AGE5YRS_R_12.0,0.020181282051005354
categorical__BMICAT6_6.0,0.01990378296809724
categorical__BMICAT6_4.0,0.01906458042542611
categorical__DEM_RACEETH_3.0,0.018520288520663137
categorical__P_AGE5YRS_R_10.0,0.018498074024320143
categorical__P_AGE5YRS_R_9.0,0.018400912448461756
categorical__P_AGE5YRS_R_4.0,0.0179158730279499
categorical__P_AGE5YRS_R_6.0,0.017891657536435308
categorical__P_AGE5YRS_R_11.0,0.01725129790897852
categorical__P_AGE5YRS_R_8.0,0.015965285348642545
categorical__P_AGE5YRS_R_7.0,0.015830426888321817
categorical__DEM_RACEETH_4.0,0.015399205083622343
categorical__BMICAT6_5.0,0.014725375901232303
categorical__ACC_HTHUSUAL_2.0,0.01446496719653056
categorical__P_AGE5YRS_R_5.0,0.013776432845416848
categorical__INSURED_1.0,0.012050179322453154
categorical__P_AGE5YRS_R_3.0,0.011549774511541674
categorical__DEM_RACEETH_8.0,0.011110374719692565
categorical__P_AGE5YRS_R_2.0,0.00949785914111648
categorical__DEM_RACEETH_2.0,0.006616374449642594
categorical__DEM_RACEETH_5.0,0.0007745065930727919
categorical__DEM_RACEETH_6.0,0.00038117100265054734
